iteracao,retorno_usd,multiplicador
1,4279329192.5650992,2.1439525012851197
2,5128774597.733656,2.569526351569968
3,5775457096.584131,2.8935155794509675
4,5665105289.216707,2.8382291028139814
5,6047436676.236341,3.0297778939059827
6,4935614220.38113,2.472752615421408
7,5895707962.143743,2.953761504080031
8,5133952726.419189,2.5721206044184317
9,5121267963.7807865,2.565765512916226
10,4856112126.546418,2.4329219070873838
11,4736285732.157416,2.3728886433654393
12,5087402690.133475,2.5487989429526428
13,4969042182.8561,2.4895000916112724
14,5001440929.511648,2.5057319286130504
15,4705769659.66416,2.357600029891864
16,4857461728.227045,2.4335980602339906
17,4968751861.0103245,2.4893546397847315
18,5024481188.253662,2.5172751444156622
19,4299104360.2681675,2.1538598999339515
20,4798157566.907721,2.4038865565669942
21,4593764813.723436,2.301485377616952
22,4464978090.0180855,2.2369629709509447
23,5147265915.585167,2.578790538870324
24,5175850081.862656,2.5931112634582445
25,4721081392.085672,2.3652712385198758
26,5332952760.897034,2.6718200204894957
27,5493688771.300642,2.7523490838179567
28,5099672598.991356,2.554946191879437
29,4597068020.021181,2.303140290591774
30,4942287108.201418,2.4760957455918926
31,4782811469.857626,2.3961981311911953
32,4573850970.012521,2.291508502010281
33,4513909999.052471,2.2614779554371096
34,5605110921.659557,2.808171804438656
35,4993430373.512791,2.501718624004404
36,5479657807.743295,2.7453195429575623
37,4892583388.873541,2.4511940826019742
38,5356870989.381269,2.6838031008924195
39,5071447136.16916,2.5408051784414627
40,4735662331.661903,2.3725763184678876
41,5078493354.826633,2.5443353481095357
42,4336324209.87832,2.172507119177515
43,4641643851.268887,2.3254728713771975
44,5207206068.481324,2.6088206755918457
45,4553023393.349279,2.2810738443633665
46,4938695088.995449,2.474296136771267
47,5360271798.317335,2.685506912984637
48,4711590903.867605,2.3605164849036098
49,5350347381.546492,2.6805347602938334
50,5279446335.337258,2.6450131940567427
51,4836948987.767759,2.423321136156192
52,4798544932.547527,2.4040806275288213
53,5135872643.995251,2.5730824869715683
54,4696893884.959311,2.3531532489776104
55,4913937612.782345,2.461892591574321
56,4500852075.593039,2.254935909615751
57,4893017846.311661,2.4514117466491285
58,5443629423.397856,2.7272692501993263
59,4216802575.01345,2.112626540587901
60,5294720254.9253235,2.6526654583794205
61,4690172078.812249,2.3497856106273796
62,5150897215.836796,2.580609827573545
63,4287465677.820868,2.148028896703842
64,5777625503.540889,2.894601955681808
65,4609375407.802969,2.3093063165345535
66,4816813440.599029,2.41323318667286
67,5750696292.225073,2.881110366846229
68,4498719797.21311,2.2538676338743038
69,4550152757.7000265,2.279635650150314
70,5144867813.65305,2.5775890849965184
71,5982493792.920559,2.9972413792187167
72,4884189948.014784,2.4469889519112145
73,4757517249.985666,2.383525676345524
74,4461716004.350866,2.235328659494422
75,6198488776.599988,3.1054552988977897
76,4277409568.2640705,2.1429907656633618
77,5567412188.616934,2.7892846636357382
78,4918812120.298704,2.464334729608569
79,4360742648.738932,2.184740805981429
80,4751574407.65528,2.380548300428497
81,4566593812.679451,2.2878726516430117
82,4486756912.962765,2.247874204891165
83,5246080443.49349,2.6282968153775
84,4784700379.280554,2.397144478597472
85,4827818309.619254,2.418746648105839
86,5424508417.875823,2.7176895881141396
87,5125619128.445747,2.56794545513314
88,5210183051.45549,2.610312150027801
89,5497594286.083426,2.7543057545508147
90,5225547397.282921,2.618009718077616
91,5260704962.836742,2.6356237288761233
92,6110811955.063991,3.061529035603202
93,5240797540.450958,2.6256500703662113
94,4552992478.487392,2.2810583559556075
95,4811079495.617099,2.4103604687460414
96,6021525108.397383,3.0167961464916746
97,4874958903.4844885,2.442364180102449
98,5611277351.055256,2.811261197923475
99,4479461651.141207,2.244219264098801
100,4495033967.25662,2.2520210256796696
101,4831346979.502025,2.4205145187885897
102,5787538606.282133,2.899568440021109
103,4703946708.486346,2.35668672769857
104,4641026617.173616,2.3251636358585253
105,4680564336.36923,2.344972112409434
106,4684467294.781774,2.346927502395678
107,4366134942.571001,2.1874423559974954
108,5126220662.592781,2.568246824946283
109,4898601599.058715,2.454209217965288
110,5324646135.222413,2.6676583843799664
111,4713337620.236614,2.361391593304917
112,5007665665.374955,2.5088505337549876
113,5534248707.789628,2.772669693281377
114,4727993372.122721,2.3687341543701006
115,5534495651.39474,2.772793412522415
116,4794268724.1533785,2.4019382385537966
117,5296319587.258227,2.65346672708328
118,5718788370.916809,2.8651244343270585
119,4491313720.28359,2.2501571744907767
120,5182045967.867676,2.5962154147633645
121,5432424047.650187,2.7216553344940815
122,4625808168.125384,2.317539162387467
123,4955318018.801901,2.482624257916784
124,5200943153.397682,2.605682942584009
125,5348504330.665333,2.679611388108884
126,4656813728.40568,2.3330730102232864
127,4451860335.528587,2.230390949663621
128,5925988557.140425,2.968932142855924
129,4838365588.121794,2.424030855772442
130,4936056156.533496,2.472974026319387
131,4761682899.208641,2.385612674954229
132,4665271257.041309,2.337310249018692
133,5116380091.179892,2.5633166789478414
134,4930047574.577875,2.469963714718374
135,4503976866.727587,2.256501436236266
136,4849416053.265425,2.4295671609546217
137,5241608144.840177,2.6260561847896677
138,4982568877.308012,2.4962769926392845
139,5166494827.555986,2.5884242623025986
140,4571287931.798252,2.2902244147285833
141,5086387604.224143,2.5482903828778274
142,5214067016.151332,2.6122580241239137
143,4828237445.780299,2.4189566361624744
144,5310808285.992209,2.660725594184474
145,4396840306.032455,2.2028258046254785
146,5077101311.636699,2.5436379316817126
147,4512072134.72823,2.2605571817275703
148,5042332612.247021,2.5262187436107317
149,5294855846.841409,2.6527333902011065
150,4539894804.276131,2.274496394927921
151,5026341659.480795,2.5182072442288552
152,5895220233.076759,2.9535171508400597
153,5250048492.611297,2.6302848159375234
154,3929060548.762542,1.9684672087988686
155,4766913042.052576,2.3882329870002885
156,4992573365.160912,2.501289261102661
157,4582504952.020611,2.2958441643389835
158,5639672529.7033615,2.8254872393303416
159,5228513025.884178,2.619495503949989
160,4793003381.627138,2.4013042994123937
161,4430190916.291452,2.2195345272001266
162,5058286659.445881,2.5342117532293993
163,4417319428.256714,2.213085885900157
164,4257003534.5572267,2.132767301882378
165,5404472689.551825,2.7076516480720563
166,4817699101.773172,2.4136769046959783
167,3971896164.659949,1.9899279382063872
168,5453803946.930349,2.7323667068789326
169,5074783491.8564415,2.5424766993268744
170,4487364271.769001,2.248178492870241
171,4430667643.230645,2.2197733683520267
172,4417289697.147938,2.213070990555079
173,4950536843.469523,2.4802288794937493
174,4860086849.110218,2.4349132510572233
175,5180040344.830513,2.595210593602461
176,4923160355.636356,2.4665132042266316
177,4811672296.238071,2.410657463045126
178,4751939070.333689,2.3807309971611668
179,4368973518.925644,2.1888644884397013
180,4692317089.784997,2.350860265423345
181,4623422843.052553,2.316344109745768
182,4464221181.991943,2.2365837585129977
183,6094422712.138144,3.053317992053178
184,4539068781.483839,2.2740825558536266
185,5039814314.78234,2.5249570715342387
186,4746429587.020512,2.377970734980216
187,5898008232.188974,2.954913943982452
188,5272793838.697594,2.641680279908614
189,4201681262.3059893,2.1050507326182313
190,4414720816.040638,2.2117839759722635
191,5023338644.038683,2.51670272747429
192,5269036948.2870245,2.63979807028408
193,4881972848.651632,2.4458781806871905
194,5110233094.544156,2.5602370213147077
195,4895028853.293037,2.4524192651768724
196,5326317776.069301,2.668495879794239
197,4682453933.872218,2.3459188045451995
198,5359464422.590292,2.6851024161274006
199,5211628757.250443,2.6110364515282782
200,5244853935.429251,2.627682332379384
201,5278413367.020184,2.644495674859811
202,5036469112.935795,2.523281118705308
203,4384085819.455986,2.196435781290574
204,5517978255.48926,2.7645181640727756
205,4400475144.327646,2.204646865895614
206,4684143081.366154,2.3467650708247265
207,5301082019.445789,2.655852715153201
208,4703940376.258339,2.356683555239649
209,5558202628.868797,2.7846706557458902
210,4798193428.211394,2.403904523152001
211,5245214245.34936,2.6278628483714233
212,4928641817.529152,2.4692594276198156
213,5260833217.068934,2.635687984503474
214,6031257328.334772,3.0216720081837534
215,5595152504.463755,2.803182617466811
216,5219899167.190854,2.6151799434823917
217,5373280986.93363,2.692024542551919
218,4414501932.27718,2.211674314768126
219,4216696765.6839185,2.1125735299017627
220,4520699851.174249,2.2648796849570383
221,5094283200.15094,2.55224609225999
222,5020620276.942364,2.5153408201114047
223,4523241594.976793,2.266153103695788
224,4701289009.982102,2.355355215421895
225,4855477381.334953,2.4326038984644054
226,5618564698.5015745,2.814912173597983
227,5368234564.388901,2.6894962747439384
228,4526172600.100355,2.2676215431364506
229,5426251271.745333,2.7185627613954573
230,5058635971.594597,2.53438675931593
231,4162670454.6004133,2.0855062397797663
232,4967366218.420944,2.488660430070613
233,5209085584.345412,2.609762316806319
234,4929514010.89383,2.469696398243402
235,4980602544.537897,2.4952918559809105
236,5579706257.713709,2.795444016890636
237,5227153099.384487,2.61881417804834
238,5043145942.207876,2.52662622355104
239,5821168245.725914,2.91641695677651
240,5150755931.557077,2.5805390438662714
241,4506231753.3843565,2.2576311389701185
242,5516974436.3754635,2.764015248685102
243,4749981894.784248,2.3797504482887017
244,5087115339.652393,2.548654979785768
245,4799956128.905041,2.4047876397319845
246,5113835331.36258,2.5620417491796497
247,4779691206.828269,2.3946348731604554
248,4444047968.958151,2.226476938355787
249,4899945386.678545,2.454882458255784
250,5148023667.500571,2.5791701740984827
251,4993299868.038822,2.5016532405004117
252,4406570838.705013,2.2077008209944955
253,6069988717.383837,3.041076511715349
254,4657253942.114753,2.333293558173724
255,4807991413.700989,2.4088133335175295
256,4518108879.613947,2.2635816030129994
257,5185024308.15517,2.597707569216017
258,4585159923.186035,2.2971743102134443
259,5192794379.447189,2.6016003905046037
260,4397668226.666409,2.203240594522249
261,4586806838.808307,2.2979994182406345
262,4862069380.06562,2.435906503038888
263,4751691008.578871,2.380606717724885
264,5331104696.737511,2.6708941366420396
265,5287255557.124259,2.648925629821773
266,5301378449.52569,2.6560012272172795
267,4965361472.139626,2.487656048166145
268,5031024707.116122,2.520553460479019
269,5722311145.093763,2.8668893512493803
270,5172906990.363821,2.5916367687193493
271,4812892817.563108,2.411268946674904
272,4782107286.3206215,2.3958453338279666
273,4976165613.00838,2.493068944392976
274,5225104612.758059,2.617787882143316
275,5800851937.185532,2.906238445483733
276,5036444001.901575,2.523268538026841
277,5074758591.667343,2.542464224282236
278,4565631332.103135,2.2873904469454587
279,4995671971.249068,2.502841668962459
280,5319723275.1731415,2.6651920216298306
281,4894377385.567789,2.4520928785409764
282,5683054275.899539,2.8472215811119934
283,6485688254.650555,3.2493428129511797
284,4723091582.144772,2.3662783477679215
285,4850912735.057014,2.4303170015315705
286,5168331857.418521,2.5893446179451507
287,5534913200.466777,2.773002605444277
288,5075537950.938206,2.5428546848387805
289,5483092677.029341,2.747040419353377
290,4301172188.882423,2.154895886213639
291,4504759298.665224,2.256893436205022
292,5373940391.791921,2.6923549057073752
293,5560097550.795465,2.7856200154285897
294,5690900843.218231,2.851152727063242
295,5041194518.971966,2.5256485565991813
296,4508151970.798582,2.2585931717427767
297,4664867606.658856,2.3371080193681646
298,5330740084.441971,2.670711465151288
299,4605812330.047614,2.3075212074386844
300,4875224487.266293,2.442497238109365
301,4643333364.142858,2.3263193207128543
302,4618214586.696884,2.3137347628741907
303,5506051946.962736,2.7585430596005693
304,4480487279.611754,2.244733106017913
305,4383798607.502092,2.1962918875260984
306,5278641340.851816,2.6446098902063206
307,4869961467.683563,2.439860454751284
308,4475705055.867602,2.242337202338478
309,4827599463.012393,2.418637005517231
310,4427136119.2222185,2.2180040677466026
311,4772644987.185652,2.3911047029988235
312,5850628904.81962,2.931176806021854
313,4961829345.32683,2.485886445554524
314,5571775022.3025055,2.7914704520553633
315,5288202893.804667,2.649400247397128
316,3895943116.429159,1.951875308832244
317,5328708290.101338,2.669693532114899
318,5202810300.357225,2.6066183869525177
319,4807051463.6688,2.4083424166677356
320,4619080975.203163,2.314168825252086
321,4652379554.651072,2.330851480286108
322,5849813623.378391,2.9307683483859677
323,4796582156.5450945,2.4030972728181834
324,4342053805.853666,2.17537765824332
325,5188045264.338388,2.5992210743178297
326,4642616005.059322,2.32595992237441
327,5541848985.469484,2.7764774476300023
328,4907943405.912449,2.4588894819200644
329,4667100209.234097,2.338226557732513
330,5237284659.102291,2.623890109770687
331,5806889795.971783,2.9092634248355624
332,4879722659.715694,2.444750831520889
333,4975286372.394903,2.492628443083619
334,5380528200.9139,2.695655411279509
335,4669406943.650315,2.339382236297753
336,5159466146.62846,2.584902879072375
337,5015705062.453213,2.5128782878022107
338,6025404945.927037,3.0187399528692573
339,5080156638.074995,2.545168656350198
340,4688529992.963292,2.3489629223262987
341,5146438156.544735,2.578375829932232
342,4860016789.033566,2.4348781508184203
343,4442997633.133605,2.225950718002808
344,5206046553.994724,2.608239756510383
345,6863331182.127867,3.438542676416767
346,4717851862.6821575,2.3636532378167123
